generation,mean_fitness
0,37.25
1,42.395
2,48.86
3,54.095
4,61.13
5,65.27
6,68.845
7,75.935
8,80.32
9,85.445
10,89.27
11,94.38
12,99.12
13,101.955
14,105.055
15,108.995
16,110.03
17,111.005
18,112.67
19,113.675
20,115.86
21,118.055
22,122.02
23,123.53
24,124.78
25,129.325
26,129.71
27,133.165
28,134.235
29,134.835
30,137.015
31,138.925
32,140.0
33,140.55
34,140.84
35,140.92
36,141.91
37,142.89
38,143.84
39,144.915
40,145.265
41,146.72
42,147.345
43,150.435
44,151.935
45,152.68
46,154.54
47,157.02
48,157.915
49,158.825
50,160.04
51,161.83
52,167.335
53,168.095
54,170.125
55,171.095
56,174.24
57,175.105
58,176.045
59,176.305
60,177.155
61,181.005
62,183.415
63,184.18
64,185.52
65,188.005
66,189.195
67,189.715
68,189.765
69,191.075
70,193.1
71,193.605
72,194.07
73,198.13
74,200.89
75,207.815
76,209.38
77,213.085
78,213.545
79,213.87
80,214.125
81,216.325
82,218.585
83,220.78
84,220.935
85,221.13
86,221.755
87,221.935
88,226.725
89,227.5
90,228.225
91,235.145
92,235.475
93,247.44
94,248.77
95,252.335
96,254.34
97,257.915
98,258.26
99,259.685
100,262.635
101,263.21
102,268.94
103,269.915
104,270.555
105,270.78
106,270.885
107,271.67
108,272.175
109,275.675
110,276.9
111,278.015
112,280.71
113,281.505
114,282.635
115,282.825
116,284.8
117,287.295
118,288.79
119,289.435
120,289.625
121,289.625
122,290.29
123,291.615
124,291.825
125,294.615
126,294.855
127,295.01
128,295.03
129,295.385
130,297.58
131,298.14
132,300.59
133,300.65
134,300.695
135,302.82
136,303.83
137,304.78
138,305.835
139,307.57
140,308.295
141,315.345
142,315.47
143,316.73
144,319.14
145,321.355
146,326.05
147,326.51
148,326.975
149,329.195
150,330.3
151,331.635
152,334.14
153,335.365
154,336.535
155,340.535
156,345.495
157,346.85
158,346.955
159,347.555
160,348.725
161,348.735
162,350.26
163,352.49
164,353.51
165,361.935
166,361.995
167,361.995
168,362.015
169,364.26
170,365.025
171,365.93
172,367.995
173,369.2
174,369.945
175,370.695
176,372.53
177,377.27
178,378.645
179,380.7
180,380.735
181,384.65
182,386.98
183,389.005
184,389.455
185,391.965
186,392.3
187,393.16
188,393.9
189,396.38
190,396.875
191,396.885
192,398.385
193,399.75
194,402.025
195,402.575
196,402.7
197,404.0
198,406.51
199,408.9
200,409.215
201,409.22
202,409.735
203,411.405
204,411.76
205,411.775
206,413.815
207,416.22
208,416.91
209,417.695
210,418.09
211,418.375
212,419.13
213,419.48
214,419.85
215,419.87
216,426.305
217,428.1
218,429.045
219,429.045
220,431.095
221,431.72
222,437.085
223,438.57
224,439.575
225,442.23
226,443.23
227,443.23
228,443.23
229,443.405
230,445.01
231,445.87
232,445.87
233,449.685
234,450.095
235,450.805
236,452.31
237,452.575
238,455.32
239,455.68
240,455.835
241,455.835
242,458.08
243,458.81
244,458.81
245,462.665
246,463.42
247,463.42
248,463.425
249,464.465
250,464.64
251,469.355
252,469.37
253,469.37
254,469.37
255,469.39
256,470.07
257,472.905
258,473.31
259,475.245
260,479.585
261,480.7
262,481.25
263,481.355
264,482.075
265,482.44
266,482.445
267,483.58
268,490.17
269,492.385
270,493.865
271,494.54
272,494.745
273,494.745
274,494.755
275,498.34
276,498.93
277,499.075
278,499.45
279,500.005
280,500.67
281,501.04
282,502.245
283,502.245
284,502.62
285,503.05
286,504.105
287,506.885
288,508.37
289,508.51
290,510.95
291,511.835
292,512.2
293,512.38
294,512.665
295,512.73
296,512.995
297,514.115
298,516.475
299,516.485
300,523.32
301,529.72
302,530.495
303,530.59
304,533.01
305,533.12
306,534.25
307,534.8
308,536.935
309,538.96
310,539.87
311,540.52
312,542.83
313,543.45
314,543.83
315,545.68
316,546.14
317,547.24
318,549.355
319,549.355
320,550.85
321,552.465
322,553.53
323,553.53
324,554.105
325,557.435
326,557.445
327,561.525
328,563.795
329,565.26
330,565.525
331,565.71
332,565.915
333,566.105
334,570.65
335,571.77
336,571.77
337,571.875
338,577.825
339,581.615
340,581.69
341,582.71
342,582.71
343,582.71
344,583.405
345,588.38
346,588.625
347,596.95
348,597.955
349,600.27
350,600.465
351,600.465
352,601.76
353,602.26
354,603.0
355,608.725
356,610.69
357,610.965
358,610.965
359,611.345
360,613.155
361,613.935
362,614.3
363,614.505
364,615.145
365,615.885
366,616.085
367,619.3
368,622.13
369,622.49
370,624.265
371,624.265
372,625.3
373,625.66
374,625.66
375,625.735
376,625.735
377,626.465
378,626.795
379,626.795
380,627.835
381,629.7
382,629.71
383,632.41
384,632.74
385,632.74
386,633.395
387,634.315
388,634.875
389,635.52
390,635.52
391,635.55
392,636.07
393,636.07
394,636.25
395,637.38
396,643.37
397,643.37
398,643.37
399,649.65
400,651.045
401,651.045
402,652.805
403,655.03
404,655.03
405,655.03
406,655.03
407,655.775
408,656.88
409,661.88
410,662.985
411,663.215
412,665.45
413,665.45
414,665.45
415,665.49
416,667.63
417,670.06
418,670.06
419,670.435
420,670.74
421,671.115
422,672.405
423,672.405
424,677.16
425,677.16
426,677.9
427,679.14
428,681.16
429,681.16
430,681.33
431,681.33
432,681.33
433,681.33
434,681.35
435,681.35
436,681.52
437,682.715
438,682.715
439,682.715
440,682.875
441,683.92
442,684.075
443,684.075
444,686.51
445,686.51
446,686.83
447,688.135
448,690.28
449,690.49
450,690.67
451,691.88
452,692.465
453,693.36
454,694.64
455,695.5
456,695.5
457,695.5
458,695.5
459,696.485
460,696.925
461,697.665
462,697.665
463,701.555
464,701.555
465,701.555
466,701.735
467,702.165
468,702.605
469,702.795
470,704.275
471,705.245
472,706.85
473,707.385
474,707.385
475,707.395
476,709.315
477,711.725
478,711.725
479,711.725
480,713.43
481,713.46
482,714.47
483,714.72
484,716.2
485,717.885
486,718.255
487,718.44
488,718.44
489,721.065
490,721.245
491,723.09
492,723.385
493,725.17
494,725.36
495,726.375
496,726.375
497,728.235
498,730.0
499,730.0
500,730.225
501,730.45
502,730.45
503,730.555
504,730.555
505,730.875
506,731.35
507,731.35
508,733.1
509,733.1
510,734.19
511,734.925
512,734.925
513,734.925
514,735.655
515,736.025
516,736.025
517,738.85
518,739.415
519,739.415
520,739.48
521,739.48
522,739.49
523,739.7
524,739.7
525,740.055
526,740.425
527,742.265
528,746.89
529,747.91
530,748.235
531,748.83
532,748.83
533,748.83
534,750.72
535,751.615
536,751.83
537,754.41
538,754.41
539,754.41
540,758.52
541,758.52
542,758.52
543,765.565
544,765.565
545,775.12
546,775.49
547,775.665
548,776.025
549,776.445
550,778.99
551,781.19
552,781.45
553,787.28
554,787.565
555,789.8
556,794.15
557,794.15
558,796.395
559,796.395
560,796.395
561,796.395
562,796.395
563,796.395
564,797.475
565,797.475
566,797.475
567,797.845
568,797.845
569,798.03
570,798.03
571,798.405
572,798.405
573,801.185
574,803.595
575,803.595
576,803.595
577,807.5
578,807.5
579,807.98
580,807.98
581,808.155
582,808.155
583,808.155
584,808.155
585,808.73
586,809.385
587,811.79
588,812.95
589,812.95
590,812.95
591,812.95
592,812.95
593,812.95
594,813.365
595,813.54
596,813.54
597,813.54
598,813.54
599,814.275
600,814.275
601,817.81
602,819.54
603,819.54
604,820.275
605,821.365
606,821.73
607,821.73
608,821.95
609,821.95
610,821.95
611,822.83
612,823.77
613,826.355
614,828.01
615,829.1
616,829.285
617,830.4
618,830.4
619,830.4
620,837.81
621,838.555
622,842.705
623,843.885
624,846.13
625,849.665
626,850.69
627,851.615
628,854.08
629,854.08
630,854.375
631,855.625
632,855.625
633,856.01
634,857.87
635,858.055
636,858.685
637,859.35
638,860.995
639,864.465
640,864.465
641,864.855
642,865.59
643,866.01
644,866.465
645,868.465
646,870.325
647,870.545
648,874.895
649,874.895
650,877.305
651,878.44
652,878.44
653,884.11
654,884.15
655,887.29
656,887.29
657,888.385
658,888.385
659,888.385
660,890.05
661,890.565
662,891.67
663,891.67
664,891.67
665,891.67
666,893.52
667,893.695
668,893.995
669,895.0
670,895.145
671,895.145
672,895.355
673,895.385
674,895.39
675,895.39
676,896.585
677,896.585
678,896.585
679,896.585
680,896.585
681,896.585
682,896.585
683,896.585
684,897.975
685,905.74
686,905.75
687,905.75
688,906.23
689,911.7
690,912.145
691,912.145
692,912.71
693,913.31
694,917.875
695,923.795
696,923.895
697,925.24
698,926.16
699,926.16
700,927.47
701,927.47
702,927.655
703,929.56
704,929.73
705,929.73
706,929.73
707,929.73
708,929.73
709,929.73
710,930.84
711,930.84
712,930.84
713,932.06
714,932.45
715,934.645
716,934.85
717,936.535
718,937.635
719,939.68
720,939.68
721,941.84
722,946.12
723,946.12
724,946.12
725,946.12
726,946.95
727,946.95
728,947.695
729,949.175
730,949.175
731,949.37
732,949.37
733,949.37
734,951.05
735,951.05
736,951.05
737,951.05
738,951.965
739,954.37
740,955.495
741,955.5
742,955.5
743,956.43
744,956.43
745,956.62
746,956.62
747,956.62
748,956.86
749,958.285
750,958.285
751,958.285
752,958.285
753,958.965
754,960.595
755,962.505
756,962.92
757,962.92
758,964.025
759,964.405
760,964.405
761,964.405
762,964.405
763,964.405
764,964.405
765,967.785
766,967.785
767,967.785
768,969.63
769,969.79
770,971.135
771,971.135
772,971.15
773,974.03
774,974.11
775,974.855
776,975.45
777,975.555
778,975.555
779,975.555
780,975.555
781,976.295
782,976.295
783,983.595
784,983.595
785,983.595
786,983.6
787,984.9
788,984.9
789,984.9
790,985.64
791,985.64
792,985.64
793,986.975
794,992.25
795,994.705
796,994.705
797,996.96
798,996.96
799,996.96
800,996.96
801,996.96
802,996.96
803,996.96
804,997.88
805,997.975
806,997.975
807,997.975
808,999.26
809,1003.975
810,1005.64
811,1005.64
812,1005.64
813,1005.64
814,1007.155
815,1007.155
816,1010.26
817,1010.915
818,1010.915
819,1017.17
820,1018.075
821,1018.14
822,1020.17
823,1020.17
824,1020.17
825,1020.17
826,1020.17
827,1021.925
828,1024.82
829,1026.295
830,1028.08
831,1029.275
832,1029.275
833,1029.275
834,1029.275
835,1033.17
836,1035.02
837,1036.15
838,1039.77
839,1039.77
840,1040.325
841,1040.695
842,1044.15
843,1051.29
844,1051.29
845,1054.055
846,1054.145
847,1054.145
848,1055.185
849,1056.09
850,1056.09
851,1062.535
852,1066.255
853,1066.255
854,1066.255
855,1066.425
856,1066.89
857,1067.625
858,1069.105
859,1069.665
860,1071.895
861,1073.74
862,1074.22
863,1074.22
864,1074.85
865,1075.115
866,1076.22
867,1076.22
868,1078.13
869,1078.13
870,1078.32
871,1078.32
872,1082.575
873,1082.575
874,1082.575
875,1083.32
876,1083.865
877,1085.145
878,1085.97
879,1089.745
880,1089.76
881,1090.4
882,1093.0
883,1093.0
884,1093.01
885,1093.01
886,1097.3
887,1097.3
888,1097.3
889,1099.015
890,1099.015
891,1106.3
892,1106.3
893,1106.3
894,1106.39
895,1106.39
896,1107.34
897,1107.34
898,1107.34
899,1109.22
900,1110.14
901,1110.14
902,1111.245
903,1111.245
904,1111.245
905,1114.12
906,1116.9
907,1119.325
908,1124.395
909,1124.395
910,1126.23
911,1126.33
912,1127.345
913,1127.345
914,1127.345
915,1127.345
916,1127.345
917,1127.44
918,1131.69
919,1132.425
920,1132.625
921,1134.115
922,1134.865
923,1134.865
924,1138.705
925,1138.705
926,1138.84
927,1138.84
928,1138.84
929,1138.84
930,1140.23
931,1140.23
932,1145.92
933,1145.92
934,1145.92
935,1145.92
936,1146.07
937,1146.07
938,1147.18
939,1147.18
940,1147.18
941,1152.145
942,1152.145
943,1152.145
944,1152.145
945,1155.01
946,1163.565
947,1163.75
948,1163.75
949,1163.75
950,1163.75
