generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,31.0,31.0
2,31,31.0,31.0
3,31,31.0,31.0
4,31,31.0,31
5,31,31.0,31.0
6,54,31.232323232323232,31
7,100,35.86138613861386,31
8,100,38.42424242424242,31
9,100,45.30927835051546,31
10,100,50.51020408163265,31.0
11,100,61.08,75.0
12,137,64.6969696969697,67
13,136,64.01,67.0
14,247,59.95049504950495,31
15,248,71.34653465346534,31
16,209,57.53465346534654,31
17,227,62.509803921568626,31.0
18,247,61.9,31.0
19,397,71.55,31.0
20,210,68.56,31.0
21,226,67.37,31.0
22,189,65.17,31.0
23,265,64.54,31.0
24,226,70.65,31.0
25,248,78.87,31.0
26,283,84.36,31.0
27,248,91.42,100.0
28,322,91.96,100.0
29,248,77.76,31.0
30,264,82.42,71.0
31,224,83.7,63.5
32,248,87.27,92.5
33,256,84.01,75.0
34,248,80.95,31.0
35,284,95.67,100.0
36,254,96.29,100.0
37,248,81.92,45.5
38,247,83.17,76.0
39,255,90.37,100.0
40,253,91.3,85.0
41,255,87.68,67.0
42,433,96.51485148514851,100
43,247,101.98,110.0
44,221,90.21,100.0
45,210,92.46,92.5
46,255,83.04,71.0
47,247,92.85,100.0
48,247,88.74,100.0
49,220,84.0990099009901,100
50,290,93.41,100.0
51,260,84.39,85.0
52,248,92.94,100.0
53,254,89.0,85.0
54,285,96.94,92.5
55,359,91.81,100.0
56,589,106.16831683168317,100
57,323,94.73,71.0
58,322,102.57425742574257,100
59,548,108.67,100.0
60,1216,123.6930693069307,100
61,5659,166.22,100.0
62,5659,219.83,70.0
63,5659,368.88,73.0
64,5659,737.24,100.0
65,5659,1386.4356435643565,100
66,5659,1872.69,111.0
67,5659,1911.5,175.0
68,5659,1951.11,209.0
69,5659,1377.06,105.0
70,5659,1913.03,285.5
71,5659,2357.71,1044.0
72,5659,2276.44,1156.0
73,5659,1899.82,111.0
74,5659,2209.128712871287,1304
75,5659,2277.43,1489.0
76,5659,1987.64,526.5
77,5659,2373.17,1895.0
78,5659,2297.72,1526.0
79,5659,2372.0,1526.0
80,5659,2606.14,2228.5
81,5659,2532.29702970297,1377
82,5659,1963.66,675.0
83,5659,2244.99,971.0
84,5659,2150.6039603960394,1007
85,5659,2291.0,860
86,5659,1890.4,453.0
87,5659,2068.75,1045.0
88,5659,2050.27,342.0
89,5659,2178.83,897.0
90,5659,2185.6633663366338,342
91,5659,2319.960396039604,934
92,5659,2057.12,452.5
93,5659,2222.4257425742576,1378
94,5659,2104.4851485148515,934
95,5659,2226.7524752475247,933
96,5659,2317.70297029703,1378
97,5659,2210.75,712.0
98,5659,2859.1782178217823,2710
99,5659,2488.313131313131,1377
