generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,75,31.44,31.0
2,100,33.01,31.0
3,100,39.57,31.0
4,100,57.14,63.5
5,100,60.99,67.0
6,137,65.99,75.0
7,113,70.91,85.0
8,174,66.88,75.0
9,151,63.59,75.0
10,471,75.97,85.0
11,359,88.54,100.0
12,525,86.04,100.0
13,667,101.3,100.0
14,524,117.74,100.5
15,820,143.86,104.0
16,1485,155.98,101.5
17,1064,157.19,100.0
18,1485,182.63366336633663,110
19,786,189.01,111.0
20,1339,168.21,110.5
21,1377,182.67676767676767,109
22,876,171.53,110.5
23,1747,204.44444444444446,111
24,1007,209.23,115.0
25,1398,231.63,114.5
26,858,184.02,112.0
27,1770,203.66336633663366,110
28,931,216.96,112.0
29,1286,253.82828282828282,118
30,1485,251.1919191919192,137
31,1561,250.92079207920793,136
32,1304,227.24,111.5
33,1262,241.2,113.0
34,1708,234.58585858585857,115
35,1263,206.02020202020202,112
36,1153,259.33,117.0
37,1303,259.86138613861385,139
38,1636,247.69,116.0
39,1930,280.18,137.0
40,968,214.34343434343435,115
41,1265,236.61,140.0
42,1301,262.68,142.0
43,918,212.26262626262627,118
44,1190,249.2020202020202,113
45,1634,283.94,136.5
46,2819,358.34343434343435,228
47,1523,269.39,118.5
48,1227,335.58415841584156,147
49,1338,297.1980198019802,114
50,1156,324.82,138.5
51,1893,243.69,112.5
52,1228,302.04040404040404,138
53,1524,329.61,117.0
54,1172,277.9191919191919,115
55,1080,268.44,112.0
56,1411,234.74,112.0
57,1080,208.48,110.5
58,1155,258.67,113.0
59,2301,283.7,126.5
60,1413,273.15,114.0
61,1411,268.72,136.0
62,2151,295.27272727272725,114
63,1304,260.02,116.0
64,1229,260.06,113.5
65,1189,308.8712871287129,187
66,2374,298.8181818181818,191
67,1340,267.71287128712873,176
68,1636,255.87,112.0
69,1560,267.06060606060606,142
70,1485,288.11,140.0
71,1597,323.63,185.5
72,1339,328.01,147.0
73,1745,353.21,182.0
74,1561,319.12,201.5
75,1562,332.65656565656565,155
76,1524,351.77,302.5
77,1375,368.42,247.5
78,1525,342.61,132.5
79,1337,329.63366336633663,178
80,1596,365.01,222.0
81,1673,366.7,201.0
82,1597,369.8910891089109,181
83,1559,344.8888888888889,194
84,1745,318.05,177.5
85,1855,313.62,137.0
86,1525,274.72,113.0
87,1486,405.36633663366337,304
88,1597,265.25,138.0
89,1635,311.65,118.0
90,1301,281.3762376237624,113
91,1304,318.35,143.5
92,1708,328.49,299.0
93,1673,305.59,120.0
94,1336,327.1212121212121,174
95,1616,305.35,114.0
96,1226,331.39,178.5
97,2596,348.61,139.0
98,1303,342.86138613861385,156
99,1301,341.05882352941177,184.0
