generation,best_fitness,mean_fitness,median_fitness
240,1929,374.019801980198,136
241,1413,389.57,258.0
242,1672,385.61,229.5
243,2225,413.05,279.0
244,1673,367.45454545454544,302
245,1855,373.89,205.0
246,1449,382.7821782178218,303
247,1377,354.3131313131313,267
248,1561,377.26732673267327,265
249,1746,411.0,304
250,1709,425.2277227722772,267
251,1560,398.51,333.0
252,1376,387.1212121212121,341
253,1598,399.22,271.0
254,2485,415.84,284.0
255,1598,460.8181818181818,377
256,2560,407.39,167.5
257,1969,387.73737373737373,266
258,1857,367.72,205.0
259,1672,391.4141414141414,291
260,2191,401.8019801980198,304
261,1893,381.1313131313131,301
262,1451,382.84158415841586,340
263,1633,404.8484848484849,302
264,1451,409.3168316831683,374
265,1376,389.1111111111111,228
266,2266,401.28712871287127,226
267,3188,447.81,376.0
268,1526,388.25252525252523,286
269,2373,419.38613861386136,230
270,1672,402.56435643564356,228
271,1304,361.37,228.5
272,1266,328.7821782178218,220
273,1635,405.7920792079208,285
274,2226,379.36,209.5
275,1190,385.38,247.0
276,1709,404.969696969697,301
277,1303,353.94059405940595,227
278,3041,417.96,317.0
279,1634,419.67676767676767,304
280,1412,306.949494949495,154
281,1804,354.7676767676768,193
282,1526,370.6969696969697,230
283,1930,358.969696969697,267
284,1781,401.020202020202,265
285,2339,415.7920792079208,194
286,2077,394.42424242424244,268
287,1931,368.0990099009901,265
288,1697,335.73,192.0
289,1635,350.38,142.5
290,1449,346.4949494949495,182
291,1262,379.2475247524753,300
292,1190,326.8989898989899,181
293,1967,370.76,304.0
294,1263,321.74257425742576,221
295,1672,382.979797979798,267
296,1189,366.4752475247525,226
297,2264,353.63366336633663,210
298,1411,395.7979797979798,375
299,1413,367.6831683168317,228
