generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,31.0,31.0
2,31,31.0,31.0
3,31,31.0,31.0
4,31,31.0,31.0
5,31,31.0,31.0
6,31,31.0,31.0
7,31,31.0,31.0
8,31,31.0,31.0
9,31,31.0,31.0
10,31,31.0,31.0
11,31,31.0,31.0
12,31,31.0,31.0
13,31,31.0,31.0
14,31,31.0,31.0
15,31,31.0,31.0
16,31,31.0,31.0
17,31,31.0,31.0
18,31,31.0,31.0
19,31,31.0,31.0
20,31,31.0,31.0
21,31,31.0,31.0
22,31,31.0,31.0
23,31,31.0,31.0
24,31,31.0,31.0
25,85,31.54,31.0
26,85,33.8,31.0
27,100,44.9,31.0
28,136,67.54,85.0
29,209,79.64,85.0
30,222,90.46,100.0
31,248,94.82,100.0
32,255,103.34,102.5
33,259,114.6,113.0
34,264,113.7,113.5
35,290,105.18,112.0
36,248,118.95,114.0
37,255,106.15,112.0
38,284,101.83,100.0
39,256,110.2,113.0
40,258,113.77,115.0
41,284,112.38,113.0
42,259,114.06,115.0
43,248,113.16,112.0
44,255,110.55,112.0
45,256,118.07,114.5
46,248,121.01,114.5
47,254,118.85,112.5
48,248,117.57,113.0
49,260,116.96,114.5
50,255,120.37,136.0
51,256,115.03,114.5
52,258,107.34,101.5
53,248,112.95,113.5
54,254,120.1,136.0
55,247,114.12871287128714,114
56,256,123.26,115.0
57,321,120.14,115.0
58,264,111.17821782178218,112
59,284,112.67,112.0
60,247,106.02,112.0
61,255,110.21,112.0
62,248,121.67,136.0
63,283,119.79,115.5
64,248,118.76,136.0
65,257,110.82,113.0
66,255,113.98019801980197,114
67,257,115.42,113.0
68,259,127.67,136.0
69,248,121.15841584158416,136
70,259,116.73267326732673,114
71,257,118.92079207920793,113
72,257,120.96039603960396,136
73,254,121.96039603960396,136
74,222,118.63,136.0
75,247,115.63366336633663,113
76,248,116.78217821782178,136
77,248,123.60396039603961,136
78,248,124.94,136.0
79,258,121.17821782178218,136
80,247,113.68316831683168,115
81,248,120.41,136.0
82,248,114.52475247524752,114
83,248,119.63,136.0
84,265,117.65346534653466,113
85,265,108.84158415841584,113
86,248,115.82178217821782,115
87,259,119.57425742574257,136
88,284,114.0990099009901,112
89,248,113.25742574257426,114
90,255,129.44,137.0
91,284,116.58415841584159,115
92,258,115.17821782178218,113
93,260,112.65346534653466,112
94,254,122.82,136.0
95,248,127.05,136.5
96,257,132.43564356435644,137
97,283,124.4950495049505,136
98,255,123.6930693069307,137
99,257,117.07,115.0
100,248,118.87128712871286,114
101,283,124.66,136.0
102,248,121.89108910891089,136
103,255,126.34,136.0
104,257,125.89,136.0
105,222,106.27722772277228,114
106,248,122.75,136.0
107,248,126.21,137.0
108,257,116.41,116.0
109,248,127.22,136.0
110,255,119.99,115.0
111,256,129.29,136.0
112,247,112.91,112.5
113,257,126.64,136.0
114,257,127.3069306930693,115
115,247,132.29,136.5
116,254,125.4,136.0
117,247,121.60396039603961,136
118,248,126.1980198019802,136
119,256,131.03,136.0
120,255,132.7128712871287,137
121,254,114.95,113.0
122,283,126.22,137.0
123,253,122.15841584158416,136
124,254,128.2,136.0
125,257,121.0990099009901,136
126,248,126.35,136.0
127,284,121.43564356435644,115
128,247,126.17,136.0
129,247,121.13,115.0
130,321,117.53465346534654,113
131,257,128.09,136.0
132,247,119.25,136.0
133,255,127.66,136.0
134,248,130.42,137.0
