generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,31.0,31.0
2,31,31.0,31.0
3,31,30.99,31.0
4,31,31.0,31.0
5,31,31.0,31.0
6,31,31.0,31.0
7,75,31.43,31.0
8,75,35.6,31.0
9,100,53.26,63.5
10,100,62.75,75.0
11,100,63.07,75.0
12,5659,230.4,67.0
13,5659,404.83,85.0
14,5659,638.8,100.0
15,5659,1134.15,31.0
16,5659,1291.24,31.0
17,5659,1854.81,100.0
18,5659,1461.4,85.0
19,5659,1571.07,80.0
20,5659,2299.19,100.0
21,5659,2019.92,100.0
22,5659,2193.95,100.0
23,5659,2019.26,100.0
24,5659,2191.67,100.0
25,5659,2014.46,92.5
26,5659,1954.52,31.0
27,5659,1850.92,80.0
28,5659,2300.43,100.0
29,5659,1745.49,85.0
30,5659,2018.35,100.0
31,5659,1792.96,85.0
32,5659,1680.15,64.5
33,5659,2410.09,100.0
34,5659,1846.81,45.5
35,5659,1684.7,100.0
36,5659,1798.06,100.0
37,5659,1960.55,80.0
38,5659,1844.11,31.0
39,5659,2235.13,71.0
40,5659,1850.34,63.5
41,5659,1796.77,31.0
42,5659,1907.16,100.0
43,5659,2066.05,31.0
44,5659,1845.45,67.0
45,5659,2066.96,67.5
46,5659,2017.84,100.0
47,5659,1798.59,100.0
48,5659,1845.72,49.0
49,5659,1902.07,100.0
50,5659,2073.16,92.5
51,5659,1901.54,75.0
52,5659,2018.07,100.0
53,5659,1855.92,100.0
54,5659,2074.45,85.0
55,5659,2408.9,100.0
56,5659,2019.94,100.0
57,5659,1958.13,83.5
58,5659,1515.33,31.0
59,5659,2299.11,100.0
60,5659,1734.42,31.0
61,5659,2352.99,100.0
62,5659,1908.6,100.0
63,5659,1964.88,100.0
64,5659,1965.3,100.0
65,5659,2071.87,100.0
66,5659,2076.02,100.0
67,5659,2185.43,100.0
68,5659,2242.12,100.0
69,5659,1848.58,56.0
70,5659,1904.2,80.0
71,5659,2352.48,100.0
72,5659,2684.48,103.5
73,5659,2410.11,100.0
74,5659,2462.55,100.0
75,5659,1909.8,100.0
76,5659,2175.19,31.0
77,5659,1909.59,100.0
78,5659,2073.57,100.0
79,5659,1849.37,85.0
80,5659,2243.82,100.0
81,5659,2013.89,74.5
82,5659,1737.5,100.0
83,5659,2406.53,100.0
84,5659,2022.02,100.0
85,5659,1960.64,100.0
86,5659,2241.85,100.0
87,5659,2018.84,100.0
88,5659,2239.22,100.0
89,5659,1961.31,85.0
90,5659,2523.21,100.0
91,5659,1912.05,100.0
92,5659,2240.35,100.0
93,5659,2238.58,100.0
94,5659,2467.43,100.5
95,5659,2243.83,100.0
96,5659,1741.08,85.0
97,5659,1848.8,58.0
98,5659,2178.71,53.0
99,5659,1799.49,100.0
