generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,31.0,31.0
2,31,31.0,31.0
3,31,31.0,31.0
4,31,31.0,31.0
5,31,31.0,31.0
6,31,31.0,31.0
7,31,31.0,31.0
8,31,31.0,31.0
9,31,31.0,31.0
10,31,31.0,31.0
11,31,31.0,31.0
12,31,31.0,31.0
13,31,30.99,31.0
14,31,31.0,31.0
15,31,31.0,31.0
16,31,31.0,31.0
17,31,31.0,31.0
18,31,31.0,31.0
19,31,31.0,31.0
20,31,31.0,31.0
21,31,31.0,31.0
22,31,31.0,31.0
23,31,31.0,31.0
24,31,31.0,31.0
25,100,31.69,31.0
26,113,34.09,31.0
27,112,51.86,31.0
28,114,84.57,100.0
29,114,79.06,100.0
30,117,82.28,100.0
31,116,77.67,100.0
32,176,82.64,100.0
33,4485,130.97,31.0
34,1822,125.3,100.0
35,5659,296.39,31.0
36,5659,654.18,31.0
37,5659,918.83,113.0
38,5659,752.54,31.0
39,5659,1047.41,114.0
40,5659,1391.49,201.0
41,5659,1164.5,112.0
42,5659,1254.06,106.0
43,5659,1439.04,113.0
44,5659,2014.79,488.5
45,5659,2032.3,321.5
46,5659,2147.75,453.0
47,5659,2409.87,1156.0
48,5659,1892.22,126.5
49,5659,2473.34,749.0
50,5659,2282.77,489.5
51,5659,1892.5,184.0
52,5659,2138.06,618.0
53,5659,2397.95,582.0
54,5659,2353.56,897.0
55,5659,2225.82,749.0
56,5659,2672.64,1895.0
57,5659,2388.86,1266.5
58,5659,2503.95,896.5
59,5659,2547.56,1340.0
60,5659,2528.68,1230.0
61,5659,2620.0,1711.0
62,5659,2372.97,1045.0
63,5659,2468.54,1618.0
64,5659,2281.05,195.0
65,5659,2652.21,1081.5
66,5659,2687.52,2451.0
67,5659,2442.6,1266.5
68,5659,2329.07,322.0
69,5659,2344.54,655.5
70,5659,2288.88,229.5
71,5659,2717.87,1896.0
72,5659,2455.92,749.0
73,5659,2472.41,1008.0
74,5659,2364.9,600.5
75,5659,2405.73,506.5
76,5659,2242.68,230.5
77,5659,2694.14,1230.0
78,5659,2774.68,2247.0
79,5659,2804.37,2691.0
80,5659,2213.02,126.0
81,5659,2664.42,1655.0
82,5659,2271.56,452.0
83,5659,3212.09,4560.0
84,5659,2609.53,1376.5
85,5659,2621.98,1470.0
86,5659,2584.67,1339.0
87,5659,2544.3,1228.5
88,5659,2255.28,557.5
89,5659,2250.48,638.0
90,5659,2152.66,712.0
91,5659,2181.83,167.0
92,5659,2853.58,2858.0
93,5659,2259.76,618.0
94,5659,2100.29,323.0
95,5659,2406.91,1118.5
96,5659,2453.36,748.5
97,5659,2561.75,1452.0
98,5659,2672.69,2006.5
99,5659,2176.68,527.0
