generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,30.98,31.0
2,31,30.98,31.0
3,31,31.0,31.0
4,31,31.0,31.0
5,31,31.0,31.0
6,31,30.99,31.0
7,101,31.69,31.0
8,100,35.14,31.0
9,112,61.33,31.0
10,114,79.05,100.0
11,113,77.34,100.0
12,113,79.04,100.0
13,114,80.07,100.0
14,114,87.25,100.0
15,114,86.47,100.0
16,117,75.27,100.0
17,117,90.87,100.0
18,114,90.48,100.0
19,119,87.62,100.0
20,150,86.95,100.0
21,148,87.63,100.0
22,145,81.57,100.0
23,180,96.89,100.0
24,155,90.7,100.0
25,151,87.95,100.0
26,192,95.39,100.0
27,214,94.83,100.0
28,1041,107.54,100.0
29,887,135.81,100.0
30,523,139.23,111.0
31,878,215.04,115.5
32,1153,171.41,100.5
33,1190,225.07,111.0
34,931,219.89,149.5
35,1673,262.0990099009901,141
36,1414,275.33,138.5
37,1044,266.68,143.5
38,1378,283.09,152.0
39,1301,258.07,145.5
40,1780,354.80808080808083,191
41,1229,311.050505050505,186
42,1819,334.989898989899,191
43,1450,304.7,137.0
44,1781,318.91,192.0
45,1450,321.7722772277228,177
46,1560,372.8019801980198,230
47,1635,325.49,191.0
48,2077,332.33,193.5
49,1486,355.4949494949495,192
50,1559,279.76,136.0
51,2117,291.44,136.5
52,1375,303.09,141.5
53,1583,280.75,168.0
54,1855,352.5742574257426,250
55,1116,345.62,228.0
56,1523,320.969696969697,174
57,1254,321.59,203.5
58,1450,329.0,257.5
59,1414,318.68,215.5
60,1748,331.5247524752475,210
61,1265,378.2079207920792,289
62,1486,292.9191919191919,156
63,2300,361.54545454545456,264
64,1303,303.77,141.5
65,1338,322.37,201.0
66,2325,330.71,181.5
67,1171,306.92,193.0
68,1302,268.79,129.0
69,1895,308.87,201.5
70,2041,341.980198019802,212
71,1227,296.69,154.5
72,1599,310.62,192.0
73,1377,264.41,145.0
74,1411,292.38,118.5
75,1523,327.0,130.5
76,2669,311.42,115.5
77,2339,321.69,137.5
78,1413,326.35,174.5
79,1560,332.11,165.5
80,2189,371.35,185.5
81,1822,380.13,219.0
82,1413,341.73,187.5
83,1967,386.81,268.5
84,1451,261.55,115.5
85,1412,288.45,128.0
86,2079,367.009900990099,218
87,2781,386.57,154.5
88,1484,326.0,182.5
89,1449,289.62,145.0
90,1524,327.32,116.5
91,1657,343.7669902912621,173
92,1707,363.48514851485146,193
93,1562,330.6831683168317,193
94,1893,351.74257425742576,175
95,1485,308.05,137.5
96,1449,344.91,205.0
97,1485,321.74,185.0
98,1582,318.43689320388347,119
99,1893,348.21,192.0
100,1448,290.05882352941177,129.0
101,1301,273.17,116.5
102,1375,305.34,161.5
103,1598,339.32,137.5
104,2004,309.15,138.0
105,1264,281.58,112.0
106,1634,336.24,166.5
107,1189,254.46,113.0
108,1303,271.05940594059405,143
109,1820,365.27,201.5
110,1560,288.4,120.0
111,1263,276.1372549019608,138.0
112,1624,341.48514851485146,154
113,1227,253.75,117.0
114,1583,350.18,234.0
115,1599,305.68,118.5
116,1303,281.83,136.0
117,1486,347.35,162.5
118,1171,319.93,219.0
119,1449,337.029702970297,191
120,1930,365.2079207920792,227
121,1229,314.46153846153845,119.0
122,1487,273.84761904761905,112
123,2190,326.7821782178218,150
124,1634,279.38,114.5
125,1671,315.16831683168317,154
126,1176,312.2647058823529,146.5
127,1674,294.76,120.0
128,3226,375.34653465346537,154
129,1190,285.79,165.5
130,1189,253.97,119.0
131,2078,335.04,119.5
132,1303,325.49,152.5
133,1770,358.55445544554453,154
134,1412,350.83,159.5
135,1598,366.51,214.0
136,1008,248.23,114.0
137,1525,296.8712871287129,140
138,1486,314.45544554455444,119
139,1562,324.8269230769231,138.0
140,1856,292.55882352941177,144.5
141,1376,343.0792079207921,180
142,1559,298.66336633663366,146
143,1510,321.53465346534654,136
144,2429,305.94059405940595,113
145,1622,337.7821782178218,191
146,1671,291.66,148.0
147,1116,338.18,163.5
148,1301,308.49,167.5
149,1599,349.82,264.5
150,1710,370.14141414141415,194
151,1600,323.35,176.0
152,1931,349.36893203883494,143
153,1694,337.3960396039604,150
154,1189,312.13861386138615,192
155,1485,335.8019801980198,156
156,1339,357.4059405940594,212
157,1523,371.9423076923077,276.5
158,1636,360.28712871287127,144
159,1597,366.9142857142857,188
160,1819,320.93,147.0
161,1340,363.6504854368932,249
162,1377,403.6,342
163,2855,381.49,148.0
164,1856,398.61,240.0
165,1673,376.5943396226415,227.5
166,1042,353.2121212121212,267
167,1748,417.48039215686276,349.5
168,1731,344.91089108910893,218
169,1338,302.65,167.5
170,1413,346.8712871287129,178
171,1855,347.73267326732673,191
172,1708,354.55238095238093,255
173,1375,387.74,280.0
174,1300,351.009900990099,255
175,1338,380.52,229.0
176,1967,358.64,165.0
177,1709,413.27,265.0
178,1707,346.09090909090907,187
179,1487,340.51,174.0
180,1190,319.34343434343435,212
181,1967,364.55,201.0
182,1634,374.5742574257426,179
183,1893,386.53,191.0
184,2338,385.33009708737865,118
185,1967,361.75,220.0
186,2078,360.52941176470586,239.5
187,2300,377.35643564356434,227
188,2412,361.24242424242425,156
189,3483,390.19,232.0
190,1302,373.3,257.5
191,1449,353.3030303030303,258
192,2041,355.65,225.5
193,1376,395.79,272.5
194,1748,376.64,256.5
195,1672,377.31,226.5
196,1485,363.3904761904762,185
197,1485,389.8217821782178,265
198,1377,371.7,201.0
199,1554,408.07,301.0
200,1597,381.4257425742574,182
201,1782,375.82,133.0
202,2819,425.26,265.0
203,1967,363.29245283018867,201.5
204,1265,383.92929292929296,230
205,1931,421.2929292929293,301
206,3021,392.17171717171715,177
207,1338,373.32,277.0
208,1339,362.98,220.5
209,1338,390.3333333333333,289
210,1411,335.989898989899,185
211,1339,353.5353535353535,214
212,1969,345.3203883495146,180
213,1486,367.0761904761905,227
214,1189,332.1862745098039,203.5
215,1264,337.7227722772277,251
216,2116,347.02830188679246,222.5
217,2043,409.0693069306931,303
218,1709,351.16831683168317,228
219,1523,343.8019801980198,250
220,1767,380.1287128712871,248
221,1857,386.8,287.0
222,1485,321.29,185.0
223,2302,404.3267326732673,191
224,1746,429.13,240.0
225,1599,383.1826923076923,221.5
226,1192,321.47474747474746,141
227,1209,343.5050505050505,141
228,1190,378.28,312.5
229,2079,405.27,265.5
230,2117,373.53465346534654,212
231,1894,348.72,222.0
232,1929,371.030303030303,185
233,1599,384.2323232323232,304
234,2006,362.0,215.5
235,1486,367.82,301.0
236,1819,394.71,268.0
237,2041,401.48514851485146,219
238,1781,347.17,191.5
239,1402,386.2772277227723,268
240,1523,347.54,130.0
241,2522,328.75,136.0
242,1894,350.2761904761905,215
243,1658,354.58,203.0
244,2152,325.3939393939394,173
245,2337,367.77777777777777,150
246,2412,367.41,219.0
247,2226,397.7524752475247,219
248,2743,424.3762376237624,291
249,2633,386.24,176.0
250,2226,435.56,303.5
251,2116,390.9191919191919,229
252,1820,329.46534653465346,190
253,1599,378.1456310679612,215
254,4039,396.33663366336634,226
255,1968,349.64761904761906,120
256,1672,365.35,227.0
257,1486,428.23,358.0
258,1784,377.08,222.5
259,2486,371.81,140.0
260,2375,373.75,180.0
261,2262,347.7524752475247,120
262,2151,435.9207920792079,210
263,1452,352.04,202.0
264,1876,349.4343434343434,155
265,2153,396.6990291262136,194
266,1450,289.75961538461536,119.5
267,1191,324.5339805825243,191
268,2005,333.41,187.5
269,1967,332.75757575757575,180
270,2559,391.78,216.0
271,1486,317.27,143.0
272,1781,336.71,155.0
273,2486,315.64,164.5
274,1327,310.55555555555554,140
275,1806,381.91,246.5
276,1560,376.48571428571427,178
277,1636,395.88,233.5
278,1930,371.65346534653463,194
279,1819,434.76,268.5
280,1487,378.79,138.5
281,1523,334.03809523809525,154
282,1783,366.00961538461536,200.5
283,1559,425.84,339.0
284,1820,338.86,230.0
285,1488,375.0660377358491,276.0
286,1746,382.86,219.5
287,1856,402.35353535353534,268
288,1559,344.4950495049505,144
289,1559,333.3809523809524,142
290,2044,386.980198019802,214
291,2077,380.4848484848485,189
292,1670,390.1313131313131,191
293,1377,378.26262626262627,228
