generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,31.0,31.0
2,31,31.0,31.0
3,31,31.0,31.0
4,31,31.0,31.0
5,31,31.0,31.0
6,31,31.0,31.0
7,31,31.0,31.0
8,31,31.0,31.0
9,31,31.0,31.0
10,31,31.0,31.0
11,31,31.0,31.0
12,31,31.0,31.0
13,31,31.0,31.0
14,31,31.0,31.0
15,31,31.0,31.0
16,31,31.0,31.0
17,31,31.0,31.0
18,31,31.0,31.0
19,100,31.69,31.0
20,112,33.25,31.0
21,109,44.22,31.0
22,136,66.63,67.0
23,266,78.23,100.0
24,451,81.28,100.0
25,822,109.03,71.0
26,1118,110.66,100.0
27,819,124.75,80.0
28,552,110.91,75.0
29,1747,101.72,60.0
30,786,83.85,61.5
31,636,85.94,75.0
32,969,113.74,75.0
33,747,129.71,100.0
34,1706,201.58,108.0
35,858,164.05,100.0
36,1177,174.95,100.0
37,1246,199.57,103.5
38,1007,189.79,112.0
39,893,176.94,107.5
40,1894,228.03,103.5
41,783,193.86,112.0
42,1358,189.39,102.5
43,1838,166.87,113.0
44,1153,213.53,111.5
45,2005,260.3939393939394,116
46,1041,190.22,110.0
47,1598,219.16,114.0
48,1452,242.33,112.5
49,1264,225.68,119.0
50,1393,253.36,114.5
51,895,159.35,108.0
52,1247,216.16,116.0
53,1635,243.17,115.0
54,2152,255.96,128.0
55,1523,253.01980198019803,118
56,1264,204.83,110.0
57,1707,310.6,117.5
58,1673,245.3,138.0
59,1485,231.83,111.0
60,1472,237.82,113.0
61,1337,230.1089108910891,119
62,1338,207.44,112.0
63,1172,224.18,115.0
64,2079,243.68686868686868,117
65,1189,206.3838383838384,116
66,1081,195.53535353535352,113
67,1043,207.45,100.0
68,1598,213.77,113.0
69,1365,288.18,136.0
70,968,186.46464646464648,112
71,1042,181.47,101.5
72,1449,197.59595959595958,103
73,1116,204.83838383838383,115
74,1487,221.96,116.5
75,1153,252.59,114.5
76,1336,204.48,113.5
77,1895,234.41414141414143,114
78,1782,317.969696969697,139
79,1468,279.07,119.0
80,1229,266.55555555555554,139
81,1153,249.79,118.0
82,1190,269.77777777777777,136
83,1615,236.28,136.0
84,1561,200.42,114.5
85,1856,214.18,108.5
86,968,248.78217821782178,142
87,1152,201.8118811881188,103
88,1449,242.55445544554456,136
89,1524,211.83,116.5
90,1296,190.61,114.5
91,2412,256.8910891089109,138
92,933,230.55,111.5
93,1005,222.16,113.5
94,1324,185.67,104.0
95,969,209.94059405940595,110
96,931,190.57,113.0
97,1969,235.16,112.5
98,1154,192.15,112.5
99,1302,205.53,117.0
100,1264,208.77,113.5
101,1598,231.35,112.5
102,1100,218.08,115.5
103,1596,221.1,116.5
104,1375,326.7,182.0
105,2932,318.45,136.0
106,1302,257.35,118.5
107,1376,293.91,177.0
108,1115,225.66666666666666,117
109,1227,267.52525252525254,152
110,1671,316.57,154.0
111,1154,247.57,128.5
112,1783,280.82,142.0
113,1707,279.61,145.0
114,1672,301.83,144.0
115,2263,268.5858585858586,120
116,1188,253.04,153.5
117,1262,348.85,220.5
118,2151,309.1188118811881,174
119,1154,257.72,136.5
120,1115,274.41584158415844,155
121,1560,260.9,139.5
122,1929,278.4752475247525,137
123,1414,272.15,136.5
124,1066,234.16831683168317,139
125,1855,279.5,142.5
126,1413,368.76,240.5
127,1079,279.09090909090907,151
128,1082,242.56,136.0
129,1561,302.1515151515151,173
