generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,31.0,31.0
2,31,31.0,31.0
3,31,31.0,31.0
4,31,31.0,31.0
5,31,31.0,31.0
6,31,31.0,31.0
7,31,31.0,31.0
8,31,31.0,31.0
9,31,31.0,31.0
10,31,31.0,31.0
11,31,31.0,31.0
12,31,31.0,31.0
13,31,31.0,31.0
14,31,31.0,31.0
15,31,31.0,31.0
16,31,31.0,31.0
17,31,31.0,31.0
18,31,31.0,31.0
19,31,31.0,31.0
20,31,31.0,31.0
21,31,31.0,31.0
22,31,31.0,31.0
23,31,30.98,31.0
24,31,31.0,31.0
25,31,31.0,31.0
26,31,31.0,31.0
27,31,30.99,31.0
28,31,31.0,31.0
29,31,31.0,31.0
30,31,31.0,31.0
31,31,31.0,31.0
32,31,31.0,31.0
33,31,31.0,31.0
34,31,31.0,31.0
35,31,31.0,31.0
36,31,31.0,31.0
37,31,31.0,31.0
38,31,30.99,31.0
39,31,31.0,31.0
40,31,31.0,31.0
41,31,31.0,31.0
42,31,31.0,31.0
43,31,31.0,31.0
44,31,31.0,31.0
45,31,31.0,31.0
46,31,31.0,31.0
47,31,31.0,31.0
48,31,31.0,31.0
49,31,31.0,31.0
50,31,31.0,31.0
51,31,30.99,31.0
52,31,31.0,31.0
53,31,31.0,31.0
54,60,31.29,31.0
55,60,33.0,31.0
56,67,40.81,31.0
57,75,52.05,60.0
58,100,55.42,67.0
59,100,55.07,67.0
60,136,59.34,67.0
61,136,63.39,67.0
62,136,68.2,67.0
63,248,72.22,67.0
64,256,70.89,71.0
65,174,65.71,47.0
66,143,66.88,67.0
67,174,70.45,67.0
68,150,68.41,67.0
69,260,73.3,85.0
70,248,78.86,100.0
71,188,76.56,100.0
72,227,65.83,31.0
73,186,69.62,71.0
74,185,73.58,75.0
75,174,65.22,35.0
76,187,65.96,31.0
77,209,70.36,67.0
78,210,74.45,80.0
79,186,72.72,87.5
80,226,71.65,85.0
81,188,75.52,85.0
82,209,73.08,76.0
83,174,84.66,100.0
84,209,82.35,100.0
85,209,70.11,60.5
86,256,72.37,75.0
87,183,70.59,63.5
88,174,71.53,71.0
89,247,67.33,31.0
90,185,73.6,85.0
91,174,72.84,67.0
92,189,76.18,100.0
93,150,80.39,100.0
94,187,77.33,100.0
95,149,72.45,85.0
96,151,73.2,85.0
97,210,76.45,100.0
98,184,68.76,67.0
99,248,69.16,67.0
