generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,31.0,31.0
2,31,30.99,31.0
3,31,31.0,31.0
4,31,30.99,31.0
5,54,31.23,31.0
6,67,32.61,31.0
7,100,41.13,31.0
8,108,56.37,60.0
9,105,63.98,75.0
10,136,64.6,67.0
11,110,62.72,40.0
12,143,71.22,85.0
13,401,81.37,100.0
14,895,89.04,31.0
15,819,137.55,100.0
16,783,148.93,101.0
17,876,167.8,102.5
18,968,166.14,111.5
19,1005,190.28,106.0
20,1337,196.81,104.0
21,1215,245.49,118.5
22,2782,206.43,109.5
23,1411,233.32,104.0
24,822,191.9,114.0
25,1116,211.27,117.0
26,1027,200.07,118.5
27,1041,206.24,105.5
28,1560,208.18,108.5
29,1246,223.14285714285714,111
30,1451,276.45,118.0
31,1634,302.87,112.5
32,1449,240.97,118.0
33,1487,267.45,118.5
34,1929,292.72,128.0
35,1635,294.65,118.0
36,1116,251.03030303030303,119
37,1101,251.4,117.0
38,1633,272.73,118.0
39,1357,240.34343434343435,112
40,2115,256.3627450980392,115.0
41,2207,273.98,128.0
42,1894,260.83,114.0
43,2226,260.76,116.0
44,1597,302.36,146.5
45,1449,295.2772277227723,138
46,1635,367.34653465346537,177
47,1154,258.02,136.0
48,1689,331.68,147.0
49,1302,342.1,212.0
50,1488,285.84,138.0
51,1189,263.14,136.0
52,1622,313.33,138.5
53,1672,316.82,144.0
54,1189,253.5050505050505,136
55,1078,206.53,107.0
56,2339,330.09,136.0
57,1597,232.26,112.5
58,1043,211.31,108.0
59,1885,235.37,110.0
60,1007,250.5,128.0
61,1559,287.46,119.5
62,1042,261.1111111111111,139
63,1263,253.26,112.5
64,1285,233.92,109.5
65,2005,304.04040404040404,136
66,1484,286.47,116.5
67,2004,329.76,153.5
68,1783,259.34,120.0
69,1633,338.5,164.0
70,1320,305.85,120.0
71,1378,305.95,120.0
72,1451,289.71287128712873,120
73,2338,310.7920792079208,173
74,2207,337.1485148514852,155
75,1265,243.27,128.0
76,2412,260.94,118.5
77,1709,279.23762376237624,137
78,1449,280.58415841584156,118
79,1301,297.13,136.0
80,2099,313.36,116.0
81,2596,283.34653465346537,111
82,3006,402.12,183.5
83,1967,356.1188118811881,193
84,1378,295.48514851485146,153
85,1635,313.6732673267327,137
86,1303,320.04,174.0
87,1876,269.56435643564356,113
88,1672,321.48514851485146,138
89,1707,345.05,174.0
90,1154,291.73,165.5
91,1155,260.21,119.5
92,1819,290.95,128.0
93,1988,334.96039603960395,119
94,1634,285.51485148514854,147
95,1930,284.16831683168317,113
96,1598,277.8514851485148,136
97,1633,275.89,140.0
98,1542,279.5959595959596,136
99,1747,298.5742574257426,119
generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,30.99,31.0
2,31,31.0,31.0
3,31,30.99,31.0
4,31,31.0,31.0
5,31,31.0,31.0
6,31,30.99,31.0
7,31,30.98,31.0
8,31,30.99,31.0
9,31,30.99,31.0
10,112,31.81,31.0
11,113,36.06,31.0
12,114,56.54,31.0
13,115,78.39,100.0
14,113,78.06,100.0
15,115,85.64,100.0
16,115,79.4,100.0
17,116,73.04,100.0
18,119,79.31,100.0
19,266,81.79,100.0
20,414,77.21,100.0
21,894,95.7,100.0
22,635,104.79,100.5
23,1376,134.64,100.0
24,673,136.31313131313132,112
25,671,155.77777777777777,112
26,711,128.4848484848485,101
27,857,151.82,102.0
28,635,142.009900990099,111
29,1413,185.81,113.0
30,636,149.64356435643563,112
31,637,163.79207920792078,114
32,673,153.15841584158414,112
33,638,159.62,111.0
34,1118,167.55445544554456,113
35,819,163.95049504950495,114
36,597,168.32,114.0
37,892,155.12,111.0
38,930,182.1881188118812,106
39,2079,164.58,109.0
40,1138,211.86138613861385,118
41,1005,189.85148514851485,118
42,1262,171.95049504950495,113
43,970,163.88,110.0
44,1323,208.44,111.0
45,1375,237.3030303030303,114
46,1263,184.14,111.5
47,859,174.48,109.5
48,784,179.1010101010101,114
49,1191,174.97,112.5
50,932,175.8080808080808,114
51,1931,163.23232323232324,103
52,893,192.16,116.5
53,1043,223.52,118.0
54,1485,198.47,116.0
55,1265,270.21,176.0
56,1229,235.66,184.5
57,1115,195.33663366336634,138
58,822,213.17,114.5
59,1488,247.7979797979798,140
60,1967,308.5,192.0
61,1190,239.51,140.5
62,1115,252.66336633663366,191
63,1264,261.6237623762376,116
64,1263,252.24752475247524,149
65,1325,246.16,127.5
66,1041,226.56435643564356,118
67,2078,262.58,111.5
68,1855,294.3939393939394,154
69,1303,250.30693069306932,111
70,1636,282.61,118.5
71,1485,320.45,154.0
72,1636,289.88,119.0
73,1696,296.42,192.0
74,1485,298.67,191.0
75,2115,389.38,266.5
76,1192,286.83,164.5
77,1449,258.66336633663366,113
78,1560,310.76,155.5
79,1636,291.97,141.5
80,1229,244.73737373737373,100
81,1153,250.24,118.5
82,1746,235.83838383838383,115
83,1155,290.24242424242425,176
84,1245,281.75,138.0
85,1118,257.5,117.0
86,2042,311.16,140.5
87,1082,228.68,112.0
88,1337,291.8787878787879,192
89,1118,253.88888888888889,116
90,2004,282.83,129.0
91,1636,307.05,191.0
92,2549,356.0,202.0
93,2189,329.16,164.5
94,1745,353.65,166.5
95,1931,320.15,146.0
96,969,236.01,135.0
97,1301,268.969696969697,152
98,933,256.8,116.5
99,1709,254.07,137.0
